date,doy,regime,yyyymmdd,meanU,meanV,meanLTS,wdCor,meanWS,maxWS,std_uv,ish_u,ish_v,ish_LTS,meanWD,ish_wd,ish_ws,year,month,prRatio
2005-01-01,1,CS,20050101,-2.7952652,-10.001824,19.122082,18.657623291015625,10.524763,12.376671,1.1832578,-1.5510100018289124,-9.99431873232778,19.17455595566305,15.614377536062308,8.821316885421254,10.113952686716074,2005,1,0.4
2005-01-02,2,LCD,20050102,-4.528355,-1.8964475,14.0007305,22.44927978515625,5.0244675,8.115359,1.4989084,-3.959663187039378,-1.8099192432378148,13.859594586303713,67.27636145048993,65.43537206351837,4.353704195491167,2005,1,0.1
2005-01-03,3,LCD,20050103,-3.519047,-1.0038564,13.1433115,58.84527587890625,4.2110987,8.174035,2.078828,-3.197777285816832,0.1678761149269731,12.79076376537832,74.07847447007131,93.00514084176706,3.202180813078649,2005,1,0.1333333333333333
2005-01-04,4,NE,20050104,-5.485624,-9.531304,15.437488,14.388229370117188,11.055293,12.272929,1.0921434,-5.226575567184451,-9.930520181162516,14.89753668665187,29.922044239621783,27.75847733911567,11.221957192395877,2005,1,0.4666666666666667
2005-01-05,5,NE,20050105,-5.793207,-3.1892145,16.716722,24.38498306274414,6.726004,8.874956,1.2442683,-6.266853035999301,-2.605204761069458,16.412014083273576,61.16680709512082,67.42676747016651,6.7867914968645255,2005,1,0.1333333333333333
2005-01-06,6,NE,20050106,-5.630032,-6.711098,17.685516,25.38751983642578,8.942091,10.039535,1.3345102,-5.921239623097741,-7.2845937150529245,17.452089650472004,39.99374717400747,39.10573540847619,9.387565406831062,2005,1,0.0666666666666666
2005-01-07,7,NE,20050107,-7.218019,-6.130073,16.604536,37.34455490112305,9.835826,11.2907505,1.9314599,-7.581843944862369,-6.4188445075372025,16.900606608032223,49.65963406435728,49.74850409282988,9.934078840848136,2005,1,0.4
2005-01-08,8,NE,20050108,-7.002326,-10.546163,14.526636,13.509788513183594,12.797434,15.493797,1.6844652,-7.177370454949064,-11.922201753219609,14.540685071575163,33.582931442153665,31.048663809597716,13.91594557664151,2005,1,0.5
2005-01-09,9,NE,20050109,-7.650996,-9.514987,14.962218,20.23320770263672,12.284158,14.428775,1.2480129,-7.420644751939144,-9.745812354084016,15.188221689617157,38.80274382829273,37.28632721852799,12.24936026800986,2005,1,0.6333333333333333
2005-01-10,10,NE,20050110,-9.003497,-7.0093384,14.992822,19.04794311523437,11.454355,14.706039,1.5449251,-8.772275948858903,-6.913607340364455,14.888406843106589,52.09878316774288,51.75764373869652,11.169189396714051,2005,1,0.3666666666666666
2005-01-11,11,NE,20050111,-8.03641,-5.8013253,14.555758,17.277156829833984,10.003468,12.292801,1.3756323,-8.698140484594347,-4.967732884028116,14.583732476496378,54.17522875272781,60.26819558198645,10.016786804998572,2005,1,0.3666666666666666
2005-01-12,12,NE,20050112,-10.260752,-7.65703,15.154644,17.00470733642578,12.861775,15.465278,1.2026455,-10.730484696121222,-7.386988410999931,15.050343349118547,53.26806030388804,55.45603127171793,13.027313598664117,2005,1,0.2666666666666666
2005-01-13,13,FT,20050113,-6.225675,-7.5493956,13.984697,30.77494430541992,10.387152,13.782448,2.8322113,-7.295335647772466,-7.990053763573971,13.908165288401287,39.51099544175398,42.39770829305746,10.819560127771474,2005,1,0.6666666666666666
2005-01-14,14,LCD,20050114,-3.2673414,-13.333295,12.822549,13.196281433105469,13.835968,15.5160055,1.3160775,-3.1461499202707666,-13.545798332695009,12.223060202794391,13.769074032139656,13.075697553453494,13.906362277420454,2005,1,0.2
2005-01-15,15,CS,20050115,-2.1020367,-12.584238,13.284359,18.3555908203125,13.062306,15.113757,1.8142047,-0.8649018322057807,-12.704773356363935,13.086068750125884,9.482980837890466,3.894511255226746,12.734179251758938,2005,1,0.1333333333333333
2005-01-16,16,CS,20050116,-1.6834704,-11.011231,15.806036,13.31513214111328,11.331106,12.569065,1.3028295,-0.4991701201557386,-11.185371219919842,15.659181996209467,8.692450548606786,2.5552461940092144,11.196503924719869,2005,1,0.0666666666666666
2005-01-17,17,NE,20050117,-3.407466,-3.5983887,13.740753,45.63061141967773,5.106915,7.159035,1.2686145,-2.64861893461212,-3.7284658910516097,13.654990441914876,43.43896842728509,35.38913611447521,4.573471346966231,2005,1,0.0
2005-01-18,18,NE,20050118,-2.6064103,-0.51582247,10.964201,76.60143280029297,2.9650066,5.175921,1.3575479,-2.1093312600479184,0.0180542829523941,10.216563549111685,78.80551391781592,90.49039663655202,2.1094085241480047,2005,1,0.2
2005-01-19,19,NE,20050119,-4.3465376,-4.453959,12.341431,38.88510894775391,6.477802,10.697325,1.7733598,-4.161247013782821,-4.158827354367885,11.74354831940206,44.30066592923487,45.01666286409136,5.883181254487662,2005,1,0.2333333333333333
2005-01-20,20,NE,20050120,-6.9843807,-6.84958,13.43751,22.854042053222656,9.888946,11.660696,1.3259451,-7.813744756531403,-7.980345814112342,13.446001931708016,45.55828400111358,44.395648428860056,11.168729848691047,2005,1,0.1333333333333333
2005-01-21,21,LCD,20050121,-8.258284,-1.088189,14.168576,17.031085968017578,8.425661,10.382372,1.2347496,-8.320673520774847,-1.048040235696788,13.84239749664688,82.49341668458817,82.82104789181324,8.386417362316466,2005,1,0.1333333333333333
2005-01-22,22,FT,20050122,-0.8544194,4.318068,14.1532345,70.4503173828125,5.43659,8.190866,2.7206454,-1.1638155826263472,4.135896897012714,13.874932001937864,168.80741960704523,164.2837293534841,4.296522995758698,2005,1,0.2
2005-01-23,23,LCD,20050123,-3.9511812,-3.2460468,19.184,32.097137451171875,5.1932473,6.850549,1.0287759,-3.780072140005433,-3.819116864164989,19.24300918929036,50.59558452697985,44.70561618880137,5.373509003043977,2005,1,0.2
2005-01-24,24,LCD,20050124,-1.2170732,3.2249875,17.12356,85.435791015625,4.3692226,6.182991,1.9656689,-1.3529523251250657,3.276340800428072,16.969398159380596,159.32407009569062,157.5620104912465,3.5446987226858897,2005,1,0.0
2005-01-25,25,LCD,20050125,0.7554973,0.27242762,13.787374,168.19568634033203,3.6136956,6.0401025,2.3895063,0.6651192870300586,0.3428530155919516,12.79980652143351,250.17101154877184,242.7299820188738,0.7482859455314316,2005,1,0.3
2005-01-26,26,LCD,20050126,-4.44567,0.123852335,14.140031,52.05636596679688,5.093942,8.008961,2.312171,-5.309326925818116,1.1658050725975135,13.47324523462041,91.59579565379084,102.38428888139448,5.4358121631005005,2005,1,0.4
2005-01-27,27,FT,20050127,1.9962659,0.2640118,14.026383,152.8982925415039,4.4013934,6.501362,2.739991,1.5638379572434389,-0.3296669314956669,13.592246159095764,262.46619249600144,281.9040195925005,1.5982081974001696,2005,1,0.2666666666666666
2005-01-28,28,LCD,20050128,0.09818865,-2.4584465,14.329549,80.45768737792969,4.44076,7.4415,2.8363624,-1.456248874849641,-3.5995448094558724,13.627621151852928,357.7128617710022,22.02651931891052,3.8829606772128864,2005,1,0.0666666666666666
2005-01-29,29,FT,20050129,-2.3782237,-3.89162,14.911033,67.78255462646484,5.2268567,9.397281,2.5517144,-3.4572703858181675,-4.221576757994013,13.357265239325208,31.42968871633468,39.315843554680896,5.456594986279496,2005,1,0.2333333333333333
2005-01-30,30,NE,20050130,-3.7140424,-9.319842,16.39343,25.83855438232422,10.0956335,12.917919,1.9022579,-5.144266186807001,-10.341402991547902,15.160547826290133,21.727734102889716,26.447761109646198,11.5502420076084,2005,1,0.3
2005-01-31,31,NE,20050131,-3.075535,-9.313356,16.088701,24.15930938720703,10.043605,12.320772,1.6487994,-2.635245495052821,-9.70654420733134,15.21610847682953,18.27469187870483,15.18920220791702,10.057908294872934,2005,1,0.5333333333333333
2005-02-01,32,CS,20050201,-4.8962293,-10.307917,16.789991,29.426048278808597,11.59721,12.208996,1.4011515,-4.164740888772336,-10.494156199834183,15.937973878247588,25.40757689489988,21.646289793308227,11.290366735280587,2005,2,0.5333333333333333
2005-02-02,33,LCD,20050202,-6.227591,-4.772296,17.16875,43.60464859008789,8.110875,9.205751,1.4738979,-6.232340257160193,-5.232711653174712,16.67277153979238,52.53651541550917,49.98297139971717,8.137772196755694,2005,2,0.7666666666666667
2005-02-03,34,LCD,20050203,-4.4072137,4.6674886,15.572942,31.149375915527344,6.531165,8.323227,1.2857062,-5.1639158565533965,5.854537607161209,15.1390402730484,136.64287102485542,138.586530129449,7.8065125099002115,2005,2,0.3
2005-02-04,35,FT,20050204,0.30031458,-0.23045531,14.602892,169.42977905273438,3.4988935,5.405521,2.3714604,0.3745749820297466,-1.536338064694718,14.266631797536212,307.50190092145544,346.2980240597958,1.581341540019896,2005,2,0.1333333333333333
2005-02-05,36,LCD,20050205,-1.3219163,2.440166,13.443643,92.09224700927734,3.0239155,4.974107,1.0737275,-1.3921408680963507,3.1032902831662548,13.056828051651,151.5541711854711,155.83892122443922,3.4012448865405376,2005,2,0.0666666666666666
2005-02-06,37,LCD,20050206,-0.5905287,4.29456,14.490945,72.56171417236328,4.9145913,7.0853243,1.9736898,-0.0304061924483028,6.124995240682602,14.27201425036494,172.17057345457692,179.71557003411323,6.125070712646812,2005,2,0.1333333333333333
2005-02-07,38,FT,20050207,-1.236185,0.4432675,15.776739,147.4235382080078,3.5047326,6.2179766,2.2500541,-0.6574602696758911,0.6989251489143435,15.413504605443316,109.72666605695622,136.75099413813365,0.9595573823316836,2005,2,0.0
2005-02-08,39,FT,20050208,-3.929407,0.7652272,16.033588,81.84966278076172,4.8913345,8.712688,2.3591793,-2.9866936226555416,2.7550616016601013,15.440869436587016,101.02006084298318,132.68984498362255,4.063336464600637,2005,2,0.1333333333333333
2005-02-09,40,NE,20050209,-2.1658652,2.8487246,15.446958,140.26093292236328,4.7804856,6.948947,2.6165977,-1.036262133562731,5.202674820573173,15.061548436745962,142.75452870276604,168.73532046471678,5.30487177018277,2005,2,0.0666666666666666
2005-02-10,41,FT,20050210,-5.9393377,-8.868577,16.722439,10.221595764160156,10.879856,13.709573,2.1034038,-6.303064276515959,-9.900916906846364,16.394135765110015,33.810450912412534,32.48140931542761,11.736983209929535,2005,2,0.5666666666666667
2005-02-11,42,FT,20050211,-8.883127,-6.639195,15.676115,15.688159942626951,11.153872,13.736786,1.2273433,-9.575567000693002,-6.1674178989187896,15.336844697489418,53.225786340538406,57.21528116481613,11.389843147500525,2005,2,0.5333333333333333
2005-02-12,43,FT,20050212,-5.8019247,-6.486834,14.874844,22.283676147460938,8.858533,10.725987,1.420018,-5.495630361087163,-5.362433675401693,14.684269488269804,41.80994170717722,45.70281637126999,7.678388371838529,2005,2,0.0666666666666666
2005-02-13,44,LCD,20050213,-10.343937,-3.789973,15.145572,16.052818298339844,11.0607195,12.555131,1.0204805,-10.437336787128446,-3.284043999936416,15.099171637710567,69.87738792518383,72.53413761426782,10.941798033297047,2005,2,0.2
2005-02-14,45,LCD,20050214,-5.7440867,7.7947364,15.021069,28.67833709716797,9.877752,12.271689,1.7532965,-6.53406926697985,8.909761493885037,14.76430546306229,143.6128052460557,143.74514120034087,11.048887322423337,2005,2,0.3
2005-02-15,46,LCD,20050215,1.1449828,9.185149,15.752664,27.020523071289062,9.435986,11.227077,1.8206344,0.907900527435618,10.38091392842102,15.917198653976444,187.10560198597963,184.998292366342,10.420540166277537,2005,2,0.0333333333333333
2005-02-16,47,NE,20050216,0.60996425,5.0814533,15.510972,167.8405303955078,6.920152,9.955374,3.4471827,1.8894304912350972,7.496990249078762,15.164615706076304,186.84488369389285,194.1454012951227,7.731417100117607,2005,2,0.2666666666666666
2005-02-17,48,FT,20050217,-1.1730434,-0.8235826,14.459344,172.431884765625,6.432263,9.686774,4.7026653,-1.32318881655962,0.0236594376748555,14.15743346947479,54.92767214040478,91.02437495494894,1.323400322373974,2005,2,0.6333333333333333
2005-02-18,49,FT,20050218,-1.4590827,-9.127406,16.076359,16.54308319091797,9.514322,13.908796,2.7858875,-2.7927939081880315,-10.129770731445312,16.210939871823626,9.082306092205243,15.413616496380456,10.507709212062268,2005,2,0.8666666666666667
2005-02-19,50,CS,20050219,-3.0627434,-14.381275,18.243172,15.364532470703123,14.810954,16.221594,1.4007926,-2.4373474934231494,-14.37162889961624,18.417357274642946,12.022522327531306,9.625456271374844,14.576843966784471,2005,2,0.8666666666666667
2005-02-20,51,CS,20050220,-5.4448195,-11.518401,16.711975,15.689552307128906,12.804293,13.621654,0.8723619,-5.092793272074386,-11.68008934966914,16.973224864189145,25.30039101696738,23.55833237120981,12.742096786963304,2005,2,0.8333333333333334
